stary_kod,nowa_nazwa,kategoria,plec,fason,sprzedaz
G1923 C1,Soller,sun,Unisex,Aviator,4
G 55016,Santos,sun,Męskie,Aviator,4
G 175 CZ,Tomas,sun,Męskie,Sportowe,4
G 151,Ria,sun,Damskie,Owalne,4
CP 8802,Begur,sun,Unisex,Aviator,4
G 55015 BR,Xavi,sun,Męskie,Nerdy,4
G 55051 CZ,Siesta,sun,Damskie,Aviator,4
G 942115,Pals,optical,Unisex,Okrągłe,3
G 96514S C21,Brava,sun,Damskie,Okrągłe,3
G1835 C3,Roses,sun,Unisex,Aviator,3
G1921,Conil,sun,Unisex,Aviator,3
G 55017,Cabo,sun,Męskie,Aviator,3
G 186,Lola,sun,Damskie,Muchy,3
G 149,Vejer,sun,Unisex,Owalne,3
G 160,Xabia,sun,Unisex,Owalne,3
G 210,Gala,sun,Damskie,Muchy,3
CP 8803,Mundaka,sun,Unisex,Aviator,3
G 55001 BR,Rio,sun,Męskie,Nerdy,3
G 55015 CZ,Toro,sun,Męskie,Nerdy,3
G 55021 CZ,Vito,sun,Męskie,Owalne,3
G 2618 C1,Rita,optical,Damskie,Prostokątne,2
G 2622 C3,Blanca,optical,Damskie,Prostokątne,2
G 2622 C2,Elena,optical,Damskie,Prostokątne,2
G 2655 C1,Estela,optical,Damskie,Kocie,2
G 2740,Flora,optical,Damskie,Prostokątne,2
DC 8039,Bosco,optical,Męskie,Prostokątne,2
GK 7078,Gracia,optical,Damskie,Kocie,2
M 8209,Jara,optical,Damskie,Kocie,2
G 96302,Aldo,optical,Męskie,Prostokątne,2
G 96301,Bolonia,optical,Unisex,Kocie,2
G 95551,Gata,optical,Unisex,Aviator,2
G 193 CZ,Motril,sun,Unisex,Prostokątne,2
G 164,Laia,sun,Damskie,Prostokątne,2
G 146,Leona,sun,Damskie,Pozostałe,2
G 161,Moraira,sun,Unisex,Owalne,2
G 21611 CZ,Laredo,sun,Unisex,Aviator,2
G 55004 BR,Lidia,sun,Damskie,Aviator,2
G 55012 GR,Amaro,sun,Męskie,Nerdy,2
G 55054 GR,Maia,sun,Damskie,Aviator,2
G 942117,Marea,optical,Damskie,Aviator,1
G 2618 C2,Mora,optical,Damskie,Prostokątne,1
G 2611 C2,Nadia,optical,Damskie,Kocie,1
G 2652 C3,Nina,optical,Damskie,Kocie,1
G 2717 C4,Onda,optical,Damskie,Prostokątne,1
LB 8936 C3,Carlos,optical,Męskie,Prostokątne,1
RD 150 C4,Paz,optical,Damskie,Kocie,1
T 1013 C6,Pepa,optical,Damskie,Okrągłe,1
SD 1368 C8,Cesar,optical,Męskie,Prostokątne,1
G 93205,Petra,optical,Damskie,Kocie,1
G 94411,Noja,optical,Unisex,Okrągłe,1
G 94402,Rocio,optical,Damskie,Aviator,1
G 94317 C2,Rosa,optical,Damskie,Kwadratowe,1
G 95541,Elio,optical,Męskie,Prostokątne,1
G 96512S,Llanes,sun,Unisex,Prostokątne,1
G1926 C1,Ribera,sun,Unisex,Aviator,1
G 6230 R,Sara,sun,Damskie,Okrągłe,1
G 184 C,Selena,sun,Damskie,Kocie,1
G 180 GR,Felipe,sun,Męskie,Prostokątne,1
G 150 GR C,Sonia,sun,Damskie,Owalne,1
G 153,Fermin,sun,Męskie,Pozostałe,1
G 55029 GR,Vida,sun,Damskie,Aviator,1
G 55051 GR,Xenia,sun,Damskie,Aviator,1
G 2618 C4,Zoe,optical,Damskie,Prostokątne,0
G 2615 C1,Camino,optical,Unisex,Prostokątne,0
G 2603 C1,Bruna,optical,Damskie,Kocie,0
G 2622 C1,Candela,optical,Damskie,Prostokątne,0
okulary korekcyjne G 2619 C4,Celia,optical,Damskie,Prostokątne,0
okulary korekcyjne G 2619 C3,Delia,optical,Damskie,Prostokątne,0
G 2637,Diana,optical,Damskie,Kocie,0
okulary korekcyjne G 2635 C4,Elisa,optical,Damskie,Kocie,0
okulary korekcyjne G 2635 C3,Fabia,optical,Damskie,Kocie,0
okulary korekcyjne G 2635 C1,Gema,optical,Damskie,Kocie,0
okulary korekcyjne G 2672 C1,Julia,optical,Damskie,Kocie,0
G 2659 C4,Lena,optical,Damskie,Prostokątne,0
G 2659 C1,Lia,optical,Damskie,Prostokątne,0
okulary korekcyjne G 2657 C2,Lina,optical,Damskie,Kocie,0
G 2716 C1,Marta,optical,Damskie,Prostokątne,0
okulary korekcyjne G 2714 C4,Mia,optical,Damskie,Prostokątne,0
G 2714 C1,Miel,optical,Damskie,Prostokątne,0
okulary korekcyjne G 2694 C2,Naia,optical,Damskie,Okrągłe,0
okulary korekcyjne G 2694 C1,Nela,optical,Damskie,Okrągłe,0
G 2682,Nieve,optical,Damskie,Kocie,0
okulary korekcyjne G 2742 C4,Paula,optical,Damskie,Prostokątne,0
okulary korekcyjne G 2742 C2,Pia,optical,Damskie,Prostokątne,0
G 89087 C3,Marisma,optical,Unisex,Okrągłe,0
okulary korekcyjne G 89087 C2,Timon,optical,Unisex,Okrągłe,0
G 89083,Delmar,optical,Unisex,Kwadratowe,0
G 89020,Norte,optical,Unisex,Kwadratowe,0
GL 6503 C3,Ramona,optical,Damskie,Kocie,0
RD 396 C2,Rubi,optical,Damskie,Kocie,0
LF 81209 C4,Sabina,optical,Damskie,Prostokątne,0
LB 8936 C5,Iker,optical,Męskie,Prostokątne,0
LA 9910 C4,Silva,optical,Damskie,Prostokątne,0
GM 7080,Jorge,optical,Męskie,Prostokątne,0
M 9010,Lalo,optical,Męskie,Prostokątne,0
MA 3021 C2,Triana,optical,Damskie,Kocie,0
RD 654 C3,Violeta,optical,Damskie,Kocie,0
RD 396 C3,Yaiza,optical,Damskie,Kocie,0
okulary korekcyjne TJ 032 C3,Sur,optical,Unisex,Prostokątne,0
G 93234 C2,Zaida,optical,Damskie,Kocie,0
G 93212 C1,Ronda,optical,Damskie,Kwadratowe,0
G 94313,Lucas,optical,Męskie,Prostokątne,0
G 94312 C1,Manolo,optical,Męskie,Prostokątne,0
G 93304,Chispa,optical,Dziecięce,Okrągłe,0
G 94319 C2,Este,optical,Unisex,Prostokątne,0
G 95544 C3,Oro,optical,Unisex,Aviator,0
G 1478 C2,Martin,optical,Męskie,Prostokątne,0
G 93305,Pinto,optical,Dziecięce,Prostokątne,0
G 154 CZ,Tossa,sun,Damskie,Pozostałe,0
G 55001 GR,Nacho,sun,Męskie,Nerdy,0
G 55015 GR,Nando,sun,Męskie,Nerdy,0
okulary przeciwsłoneczne z filtrem UV- G 1000 BR,Zahara,sun,Damskie,Prostokątne,0
